Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,40,249,1405,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,41,246,78,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,42,244,10314,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,43,243,26425,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,44,243,51924,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),45,241,1680,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,46,240,9460,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,47,237,8962,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,48,237,15164,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),49,231,13832,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,50,231,15725,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,51,231,123291,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,52,228,2456,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,53,227,13535,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,54,226,34742,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,55,225,14362,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,56,225,4353,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,57,224,1267,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,58,224,5058,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,59,220,688,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,60,218,41564,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,61,218,1304,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,62,217,113277,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,63,216,411,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,64,210,349,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,65,209,8639,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,66,209,53,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,67,204,425,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,68,203,79849,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),69,202,5605,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,70,201,2699,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,71,201,29731,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,72,200,183785,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,73,199,28935,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,74,198,8003,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,75,198,34101,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,76,196,7321,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,77,196,14014,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,78,195,1920,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,79,193,303,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,80,192,1752,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,SB-ROCKET-512,Nvme,Rocket NVMe PCIe M.2 512GB,81,192,8137,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,82,192,70,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,83,192,7191,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,83,192,7191,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,84,191,14692,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,,Intel,Optane+ NVMe PCIe 500GB,85,191,924,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),86,190,6529,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,87,189,201,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,88,188,78,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,89,187,4397,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,90,187,329,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,,Intel,Optane+ NVMe PCIe 128GB,91,186,165,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,92,185,3035,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,93,185,56075,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,94,185,6805,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,95,183,3519,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,96,178,5398,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,97,177,191,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,98,177,2493,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,99,176,7605,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,100,175,6514,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
