Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Effective Speed,Average Score,Overclocked Score,Value & Sentiment,Code Name,Launch Date,Processor Number,# of Cores,# of Threads,Max TDP,Price,Sockets Supported
CPU,YD1600BBAEBOX,AMD,Ryzen 5 1600,240,72.8,266031,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600/Rating/3919,-2,-2,-2,-33,,,,,,,132,
CPU,,Intel,Core i5-4570S,241,72.7,6004,https://cpu.userbenchmark.com/SpeedTest/5965/IntelR-CoreTM-i5-4570S-CPU---290GHz,-2,-5,-5,-1271,Haswell,Q2'13,i5-4570S,4,4,65,252,FCLGA1150
CPU,,Intel,Core i5-8305G,242,72.6,250,https://cpu.userbenchmark.com/SpeedTest/483074/IntelR-CoreTM-i5-8305G-CPU---280GHz,-2,-3,-3,,Kaby Lake G,Q1'18,i5-8305G,4,8,,,BGA2270
CPU,BX80677I37350K,Intel,Core i3-7350K,243,72.6,2842,https://cpu.userbenchmark.com/Intel-Core-i3-7350K/Rating/3889,-2,-4,-3,-4914,Kaby Lake,Q1'17,i3-7350K,2,4,60,,FCLGA1151
CPU,,Intel,Xeon E3-1225 v3,244,72.5,3252,https://cpu.userbenchmark.com/SpeedTest/12983/IntelR-XeonR-CPU-E3-1225-v3---320GHz,-2,-4,-4,-4948,Haswell,Q2'13,E3-1225V3,4,4,84,252,FCLGA1150
CPU,,Intel,Core i7-10710U,245,72.4,1838,https://cpu.userbenchmark.com/SpeedTest/900004/IntelR-CoreTM-i7-10710U-CPU---110GHz,-2,-2,,-3342,,Q3'19,i7-10710U,6,12,15,,FCBGA1528
CPU,,Intel,Xeon E5-1620 0,246,72.4,9460,https://cpu.userbenchmark.com/SpeedTest/2930/IntelR-XeonR-CPU-E5-1620-0---360GHz,-2,-4,-4,-1065,Sandy Bridge EP,Q1'12,E5-1620,4,8,130,605,FCLGA2011
CPU,,Intel,Core i5-2500,247,72.4,55177,https://cpu.userbenchmark.com/SpeedTest/517/IntelR-CoreTM-i5-2500-CPU---330GHz,-2,-5,-6,-179,Sandy Bridge,Q1'11,i5-2500,4,4,95,125,LGA1155
CPU,,Intel,Core i7-4790T,248,72.3,612,https://cpu.userbenchmark.com/SpeedTest/13586/IntelR-CoreTM-i7-4790T-CPU---270GHz,-2,-3,-3,,Haswell,Q2'14,i7-4790T,4,8,45,,FCLGA1150
CPU,,Intel,Xeon E3-1220 V2,249,72.3,1756,https://cpu.userbenchmark.com/SpeedTest/3482/IntelR-XeonR-CPU-E3-1220-V2---310GHz,-2,-5,-6,-4938,Ivy Bridge,Q2'12,E3-1220V2,4,4,69,219,FCLGA1155
CPU,,Intel,Xeon W3570,250,72.3,320,https://cpu.userbenchmark.com/SpeedTest/12630/IntelR-XeonR-CPU-----------W3570----320GHz,-2,-6,-4,,Bloomfield,Q1'09,W3570,4,8,130,476,FCLGA1366
CPU,YD3200C5FHBOX,AMD,Ryzen 3 3200G,251,72.3,29871,https://cpu.userbenchmark.com/SpeedTest/824486/AMD-Ryzen-3-3200G-with-Radeon-Vega-Graphics,-2,-3,-3,-8,,,,,,,,
CPU,,Intel,Core i7 975,252,72.2,2245,https://cpu.userbenchmark.com/SpeedTest/941/IntelR-CoreTM-i7-CPU---------975----333GHz,-2,-5,-5,-4969,Bloomfield,Q2'09,i7-975,4,8,130,,FCLGA1366
CPU,,Intel,Xeon E3-1220 v3,253,72.2,2309,https://cpu.userbenchmark.com/SpeedTest/5983/IntelR-XeonR-CPU-E3-1220-v3---310GHz,-2,-5,-5,-2493,,,,,,,269,
CPU,BX80662I56500,Intel,Core i5-6500,254,72.2,162038,https://cpu.userbenchmark.com/Intel-Core-i5-6500/Rating/3513,-2,-4,-4,-78,Skylake,Q3'15,i5-6500,4,4,65,215,FCLGA1151
CPU,BX80623I72600,Intel,Core i7-2600,255,72.1,114522,https://cpu.userbenchmark.com/Intel-Core-i7-2600/Rating/620,-2,-4,-4,-96,Sandy Bridge,Q1'11,i7-2600,4,8,95,,LGA1155
CPU,,Intel,Core i7-7920HQ,256,71.9,888,https://cpu.userbenchmark.com/SpeedTest/243546/IntelR-CoreTM-i7-7920HQ-CPU---310GHz,-2,-3,-2,,Kaby Lake,Q1'17,i7-7920HQ,4,8,45,,
CPU,YD1700BBAEBOX,AMD,Ryzen 7 1700,257,71.9,148673,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700/Rating/3917,-2,-2,-1,-123,,,,,,,346,
CPU,,Intel,Core i7-4940MX,258,71.8,1502,https://cpu.userbenchmark.com/SpeedTest/9756/IntelR-CoreTM-i7-4940MX-CPU---310GHz,-2,-3,-2,,Haswell,Q1'14,i7-4940MX,4,8,57,,
CPU,,Intel,Core i5-8279U,259,71.8,114,https://cpu.userbenchmark.com/SpeedTest/807756/IntelR-CoreTM-i5-8279U-CPU---240GHz,-2,-3,-1,,,Q2'19,i5-8279U,4,8,28,,FCBGA1528
CPU,,Intel,Xeon E3-1225 V2,260,71.7,1641,https://cpu.userbenchmark.com/SpeedTest/5015/IntelR-XeonR-CPU-E3-1225-V2---320GHz,-2,-5,-5,-4953,Ivy Bridge,Q2'12,E3-1225V2,4,4,77,283,FCLGA1155
CPU,,Intel,Xeon E3-1240,261,71.6,1469,https://cpu.userbenchmark.com/SpeedTest/5243/IntelR-XeonR-CPU-E31240---330GHz,-2,-5,-5,,Sandy Bridge,Q2'11,E3-1240,4,8,80,,LGA1155
CPU,BX80637I53470,Intel,Core i5-3470,262,71.6,126266,https://cpu.userbenchmark.com/Intel-Core-i5-3470/Rating/2771,-2,-5,-5,-85,Ivy Bridge,Q2'12,i5-3470,4,4,77,201,FCLGA1155
CPU,BX80677I57400,Intel,Core i5-7400,263,71.6,149248,https://cpu.userbenchmark.com/Intel-Core-i5-7400/Rating/3886,-2,-4,-4,-89,Kaby Lake,Q1'17,i5-7400,4,4,65,227,FCLGA1151
